+----------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+
|                                                                      Device|count(s_0)|count(s_1)|count(s_2)|count(s_3)|count(s_4)|count(s_5)|count(s_6)|count(s_7)|count(s_8)|count(s_9)|count(s_10)|count(s_11)|
|  root.test.g_0.value_0.value_1.value_0.value_1.value_1.value_4.d_aligned_91|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_0.value_2.value_0.value_0.value_0.value_0.d_aligned_93|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_0.value_2.value_0.value_0.value_0.value_1.d_aligned_95|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_0.value_2.value_0.value_0.value_0.value_2.d_aligned_97|       925|       925|       925|       925|       925|       925|       925|       925|       925|       925|        925|        925|
|  root.test.g_0.value_0.value_2.value_0.value_0.value_0.value_3.d_aligned_99|       925|       925|       925|       925|       925|       925|       925|       925|       925|       925|        925|        925|
| root.test.g_0.value_0.value_299.value_0.value_0.value_0.value_1.d_aligned_0|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
| root.test.g_0.value_0.value_299.value_0.value_0.value_0.value_2.d_aligned_2|       761|       761|       761|       761|       761|       761|       761|       761|       761|       761|        761|        761|
| root.test.g_0.value_0.value_299.value_0.value_0.value_0.value_3.d_aligned_4|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
| root.test.g_0.value_0.value_299.value_0.value_0.value_0.value_4.d_aligned_6|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
| root.test.g_0.value_0.value_299.value_0.value_0.value_1.value_0.d_aligned_8|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
|root.test.g_0.value_0.value_620.value_0.value_1.value_1.value_0.d_aligned_11|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_0.value_620.value_0.value_1.value_1.value_1.d_aligned_13|       761|       761|       761|       761|       761|       761|       761|       761|       761|       761|        761|        761|
|root.test.g_0.value_0.value_620.value_0.value_1.value_1.value_2.d_aligned_15|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_0.value_620.value_0.value_1.value_1.value_3.d_aligned_17|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_0.value_620.value_0.value_1.value_1.value_4.d_aligned_19|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_0.value_621.value_0.value_1.value_0.value_0.d_aligned_20|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_0.value_621.value_0.value_1.value_0.value_1.d_aligned_22|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_0.value_621.value_0.value_1.value_0.value_2.d_aligned_24|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
|root.test.g_0.value_0.value_621.value_0.value_1.value_0.value_3.d_aligned_26|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_0.value_621.value_0.value_1.value_0.value_4.d_aligned_28|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_0.value_622.value_0.value_0.value_1.value_1.d_aligned_31|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_0.value_622.value_0.value_0.value_1.value_2.d_aligned_33|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_0.value_622.value_0.value_0.value_1.value_3.d_aligned_35|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_0.value_622.value_0.value_0.value_1.value_4.d_aligned_37|       753|       753|       753|       753|       753|       753|       753|       753|       753|       753|        753|        753|
|root.test.g_0.value_0.value_622.value_0.value_1.value_0.value_0.d_aligned_39|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_0.value_623.value_0.value_0.value_0.value_1.d_aligned_40|       915|       915|       915|       915|       915|       915|       915|       915|       915|       915|        915|        915|
|root.test.g_0.value_0.value_623.value_0.value_0.value_0.value_2.d_aligned_42|       765|       765|       765|       765|       765|       765|       765|       765|       765|       765|        765|        765|
|root.test.g_0.value_0.value_623.value_0.value_0.value_0.value_3.d_aligned_44|       915|       915|       915|       915|       915|       915|       915|       915|       915|       915|        915|        915|
|root.test.g_0.value_0.value_623.value_0.value_0.value_0.value_4.d_aligned_46|       766|       766|       766|       766|       766|       766|       766|       766|       766|       766|        766|        766|
|root.test.g_0.value_0.value_623.value_0.value_0.value_1.value_0.d_aligned_48|       766|       766|       766|       766|       766|       766|       766|       766|       766|       766|        766|        766|
|root.test.g_0.value_0.value_623.value_0.value_1.value_1.value_2.d_aligned_51|       746|       746|       746|       746|       746|       746|       746|       746|       746|       746|        746|        746|
|root.test.g_0.value_0.value_623.value_0.value_1.value_1.value_3.d_aligned_53|       896|       896|       896|       896|       896|       896|       896|       896|       896|       896|        896|        896|
|root.test.g_0.value_0.value_623.value_0.value_1.value_1.value_4.d_aligned_55|       746|       746|       746|       746|       746|       746|       746|       746|       746|       746|        746|        746|
|root.test.g_0.value_0.value_624.value_0.value_0.value_0.value_0.d_aligned_57|       896|       896|       896|       896|       896|       896|       896|       896|       896|       896|        896|        896|
|root.test.g_0.value_0.value_624.value_0.value_0.value_0.value_1.d_aligned_59|       747|       747|       747|       747|       747|       747|       747|       747|       747|       747|        747|        747|
|root.test.g_0.value_0.value_624.value_0.value_1.value_0.value_2.d_aligned_60|       750|       750|       750|       750|       750|       750|       750|       750|       750|       750|        750|        750|
|root.test.g_0.value_0.value_624.value_0.value_1.value_0.value_3.d_aligned_62|       750|       750|       750|       750|       750|       750|       750|       750|       750|       750|        750|        750|
|root.test.g_0.value_0.value_624.value_0.value_1.value_0.value_4.d_aligned_64|       900|       900|       900|       900|       900|       900|       900|       900|       900|       900|        900|        900|
|root.test.g_0.value_0.value_624.value_0.value_1.value_1.value_0.d_aligned_66|       751|       751|       751|       751|       751|       751|       751|       751|       751|       751|        751|        751|
|root.test.g_0.value_0.value_624.value_0.value_1.value_1.value_1.d_aligned_68|       751|       751|       751|       751|       751|       751|       751|       751|       751|       751|        751|        751|
|  root.test.g_0.value_1.value_0.value_0.value_0.value_1.value_2.d_aligned_70|       767|       767|       767|       767|       767|       767|       767|       767|       767|       767|        767|        767|
|  root.test.g_0.value_1.value_0.value_0.value_0.value_1.value_3.d_aligned_72|       917|       917|       917|       917|       917|       917|       917|       917|       917|       917|        917|        917|
|  root.test.g_0.value_1.value_0.value_0.value_0.value_1.value_4.d_aligned_74|       767|       767|       767|       767|       767|       767|       767|       767|       767|       767|        767|        767|
|  root.test.g_0.value_1.value_0.value_0.value_1.value_0.value_0.d_aligned_76|       917|       917|       917|       917|       917|       917|       917|       917|       917|       917|        917|        917|
|  root.test.g_0.value_1.value_0.value_0.value_1.value_0.value_1.d_aligned_78|       917|       917|       917|       917|       917|       917|       917|       917|       917|       917|        917|        917|
|  root.test.g_0.value_1.value_1.value_0.value_0.value_0.value_3.d_aligned_81|       917|       917|       917|       917|       917|       917|       917|       917|       917|       917|        917|        917|
|  root.test.g_0.value_1.value_1.value_0.value_0.value_0.value_4.d_aligned_83|       767|       767|       767|       767|       767|       767|       767|       767|       767|       767|        767|        767|
|  root.test.g_0.value_1.value_1.value_0.value_0.value_1.value_0.d_aligned_85|       917|       917|       917|       917|       917|       917|       917|       917|       917|       917|        917|        917|
|  root.test.g_0.value_1.value_1.value_0.value_0.value_1.value_1.d_aligned_87|       768|       768|       768|       768|       768|       768|       768|       768|       768|       768|        768|        768|
|  root.test.g_0.value_1.value_1.value_0.value_0.value_1.value_2.d_aligned_89|       768|       768|       768|       768|       768|       768|       768|       768|       768|       768|        768|        768|
|  root.test.g_0.value_1.value_1.value_0.value_1.value_1.value_3.d_aligned_90|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_1.value_1.value_0.value_1.value_1.value_4.d_aligned_92|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_1.value_2.value_0.value_0.value_0.value_0.d_aligned_94|       925|       925|       925|       925|       925|       925|       925|       925|       925|       925|        925|        925|
|  root.test.g_0.value_1.value_2.value_0.value_0.value_0.value_1.d_aligned_96|       775|       775|       775|       775|       775|       775|       775|       775|       775|       775|        775|        775|
|  root.test.g_0.value_1.value_2.value_0.value_0.value_0.value_2.d_aligned_98|       925|       925|       925|       925|       925|       925|       925|       925|       925|       925|        925|        925|
| root.test.g_0.value_1.value_299.value_0.value_0.value_0.value_1.d_aligned_1|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
| root.test.g_0.value_1.value_299.value_0.value_0.value_0.value_2.d_aligned_3|       761|       761|       761|       761|       761|       761|       761|       761|       761|       761|        761|        761|
| root.test.g_0.value_1.value_299.value_0.value_0.value_0.value_3.d_aligned_5|       761|       761|       761|       761|       761|       761|       761|       761|       761|       761|        761|        761|
| root.test.g_0.value_1.value_299.value_0.value_0.value_0.value_4.d_aligned_7|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
| root.test.g_0.value_1.value_299.value_0.value_0.value_1.value_0.d_aligned_9|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
|root.test.g_0.value_1.value_620.value_0.value_1.value_0.value_4.d_aligned_10|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_1.value_620.value_0.value_1.value_1.value_0.d_aligned_12|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_1.value_620.value_0.value_1.value_1.value_1.d_aligned_14|       761|       761|       761|       761|       761|       761|       761|       761|       761|       761|        761|        761|
|root.test.g_0.value_1.value_620.value_0.value_1.value_1.value_2.d_aligned_16|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_1.value_620.value_0.value_1.value_1.value_3.d_aligned_18|       911|       911|       911|       911|       911|       911|       911|       911|       911|       911|        911|        911|
|root.test.g_0.value_1.value_621.value_0.value_1.value_0.value_0.d_aligned_21|       762|       762|       762|       762|       762|       762|       762|       762|       762|       762|        762|        762|
|root.test.g_0.value_1.value_621.value_0.value_1.value_0.value_1.d_aligned_23|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_1.value_621.value_0.value_1.value_0.value_2.d_aligned_25|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_1.value_621.value_0.value_1.value_0.value_3.d_aligned_27|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_1.value_621.value_0.value_1.value_0.value_4.d_aligned_29|       912|       912|       912|       912|       912|       912|       912|       912|       912|       912|        912|        912|
|root.test.g_0.value_1.value_622.value_0.value_0.value_1.value_0.d_aligned_30|       752|       752|       752|       752|       752|       752|       752|       752|       752|       752|        752|        752|
|root.test.g_0.value_1.value_622.value_0.value_0.value_1.value_1.d_aligned_32|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_1.value_622.value_0.value_0.value_1.value_2.d_aligned_34|       752|       752|       752|       752|       752|       752|       752|       752|       752|       752|        752|        752|
|root.test.g_0.value_1.value_622.value_0.value_0.value_1.value_3.d_aligned_36|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_1.value_622.value_0.value_0.value_1.value_4.d_aligned_38|       902|       902|       902|       902|       902|       902|       902|       902|       902|       902|        902|        902|
|root.test.g_0.value_1.value_623.value_0.value_0.value_0.value_1.d_aligned_41|       765|       765|       765|       765|       765|       765|       765|       765|       765|       765|        765|        765|
|root.test.g_0.value_1.value_623.value_0.value_0.value_0.value_2.d_aligned_43|       915|       915|       915|       915|       915|       915|       915|       915|       915|       915|        915|        915|
|root.test.g_0.value_1.value_623.value_0.value_0.value_0.value_3.d_aligned_45|       765|       765|       765|       765|       765|       765|       765|       765|       765|       765|        765|        765|
|root.test.g_0.value_1.value_623.value_0.value_0.value_0.value_4.d_aligned_47|       915|       915|       915|       915|       915|       915|       915|       915|       915|       915|        915|        915|
|root.test.g_0.value_1.value_623.value_0.value_0.value_1.value_0.d_aligned_49|       915|       915|       915|       915|       915|       915|       915|       915|       915|       915|        915|        915|
|root.test.g_0.value_1.value_623.value_0.value_1.value_1.value_1.d_aligned_50|       746|       746|       746|       746|       746|       746|       746|       746|       746|       746|        746|        746|
|root.test.g_0.value_1.value_623.value_0.value_1.value_1.value_2.d_aligned_52|       746|       746|       746|       746|       746|       746|       746|       746|       746|       746|        746|        746|
|root.test.g_0.value_1.value_623.value_0.value_1.value_1.value_3.d_aligned_54|       896|       896|       896|       896|       896|       896|       896|       896|       896|       896|        896|        896|
|root.test.g_0.value_1.value_623.value_0.value_1.value_1.value_4.d_aligned_56|       747|       747|       747|       747|       747|       747|       747|       747|       747|       747|        747|        747|
|root.test.g_0.value_1.value_624.value_0.value_0.value_0.value_0.d_aligned_58|       747|       747|       747|       747|       747|       747|       747|       747|       747|       747|        747|        747|
|root.test.g_0.value_1.value_624.value_0.value_1.value_0.value_2.d_aligned_61|       750|       750|       750|       750|       750|       750|       750|       750|       750|       750|        750|        750|
|root.test.g_0.value_1.value_624.value_0.value_1.value_0.value_3.d_aligned_63|       900|       900|       900|       900|       900|       900|       900|       900|       900|       900|        900|        900|
|root.test.g_0.value_1.value_624.value_0.value_1.value_0.value_4.d_aligned_65|       900|       900|       900|       900|       900|       900|       900|       900|       900|       900|        900|        900|
|root.test.g_0.value_1.value_624.value_0.value_1.value_1.value_0.d_aligned_67|       751|       751|       751|       751|       751|       751|       751|       751|       751|       751|        751|        751|
|root.test.g_0.value_1.value_624.value_0.value_1.value_1.value_1.d_aligned_69|       751|       751|       751|       751|       751|       751|       751|       751|       751|       751|        751|        751|
+----------------------------------------------------------------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+
Total line number = 100
It costs 0.292s
