2024-08-28 18:27:23,862 [main] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskManager:76 - Compaction schedule task manager started. 
2024-08-28 18:28:23,875 [pool-13-IoTDB-Compaction-Schedule-3] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-4] Total source files: 29 seqFiles, 0 unseqFiles. Candidate source files: 29 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:28:23,875 [pool-13-IoTDB-Compaction-Schedule-1] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-2] Total source files: 4 seqFiles, 0 unseqFiles. Candidate source files: 4 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:28:23,875 [pool-13-IoTDB-Compaction-Schedule-2] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-3] Total source files: 10 seqFiles, 0 unseqFiles. Candidate source files: 10 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:28:23,890 [pool-28-IoTDB-Compaction-Worker-2] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-3 [Compaction] Sequence InnerSpaceCompaction task starts with 8 files, total file size is 173 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,890 [pool-28-IoTDB-Compaction-Worker-1] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-4 [Compaction] Sequence InnerSpaceCompaction task starts with 27 files, total file size is 398 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,890 [pool-28-IoTDB-Compaction-Worker-3] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-2 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 21 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,892 [pool-28-IoTDB-Compaction-Worker-4] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-3 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1050 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,893 [pool-28-IoTDB-Compaction-Worker-5] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-4 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1080 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,893 [pool-28-IoTDB-Compaction-Worker-6] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-2 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1104 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-3] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-2 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2539/1712714190655-181-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2539/1712714204035-182-0-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-2] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-3 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714184646-181-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714196687-182-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714211731-183-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714226868-184-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714239638-185-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714250570-186-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714261320-187-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539/1712714272639-188-0-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-1] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-4 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713502372-151-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713509889-152-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713518594-153-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713527115-154-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713535713-155-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713546601-156-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713554278-157-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713562165-158-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713571210-159-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713578890-160-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713587289-161-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713596454-162-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713603214-163-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713612402-164-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713620926-165-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713629150-166-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713639012-167-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713647074-168-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713656447-169-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713665246-170-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713673671-171-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713681687-172-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713689657-173-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713698815-174-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713708240-175-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713716147-176-0-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539/1712713723569-177-0-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-6] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-2 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2538/1712711622262-1-2-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2538/1712712151730-61-1-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-5] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-4 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2538/1712711622046-1-2-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2538/1712712109971-61-1-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:28:23,894 [pool-28-IoTDB-Compaction-Worker-4] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:253 - root.test.g_0-3 [Compaction] compaction with selected files [file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2538/1712711622154-1-2-0.tsfile, status: COMPACTING, file is /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2538/1712712106939-61-1-0.tsfile, status: COMPACTING], skipped files [] 
2024-08-28 18:29:05,014 [pool-28-IoTDB-Compaction-Worker-8] WARN  o.a.i.d.s.d.c.s.CompactionWorker:66 - CompactionThread-7 terminates because interruption 
2024-08-28 18:29:05,015 [pool-28-IoTDB-Compaction-Worker-9] WARN  o.a.i.d.s.d.c.s.CompactionWorker:66 - CompactionThread-8 terminates because interruption 
2024-08-28 18:29:05,015 [pool-28-IoTDB-Compaction-Worker-10] WARN  o.a.i.d.s.d.c.s.CompactionWorker:66 - CompactionThread-9 terminates because interruption 
2024-08-28 18:29:05,015 [pool-28-IoTDB-Compaction-Worker-7] WARN  o.a.i.d.s.d.c.s.CompactionWorker:66 - CompactionThread-6 terminates because interruption 
2024-08-28 18:29:05,289 [pool-28-IoTDB-Compaction-Worker-6] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-2 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,289 [pool-28-IoTDB-Compaction-Worker-1] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-4 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,289 [pool-28-IoTDB-Compaction-Worker-5] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-4 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,289 [pool-28-IoTDB-Compaction-Worker-4] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-3 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,289 [pool-28-IoTDB-Compaction-Worker-2] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-3 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,299 [pool-28-IoTDB-Compaction-Worker-3] WARN  o.a.i.d.s.d.c.e.t.AbstractCompactionTask:182 - root.test.g_0-2 [Compaction] INNER_SEQ task interrupted 
2024-08-28 18:29:05,316 [IoTDB-Shutdown-Hook] INFO  o.a.i.d.s.d.c.s.CompactionTaskManager:173 - Waiting for task taskExecutionPool to shut down in 10000 ms 
2024-08-28 18:29:05,316 [IoTDB-Shutdown-Hook] INFO  o.a.i.d.s.d.c.s.CompactionTaskManager:226 - CompactionManager stopped 
2024-08-28 18:29:05,321 [pool-13-IoTDB-Compaction-Schedule-1] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskWorker:75 - [CompactionScheduleTaskWorker-0] compaction schedule is interrupted 
2024-08-28 18:29:05,321 [pool-13-IoTDB-Compaction-Schedule-2] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskWorker:75 - [CompactionScheduleTaskWorker-1] compaction schedule is interrupted 
2024-08-28 18:29:05,321 [pool-13-IoTDB-Compaction-Schedule-3] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskWorker:75 - [CompactionScheduleTaskWorker-2] compaction schedule is interrupted 
2024-08-28 18:29:05,321 [pool-13-IoTDB-Compaction-Schedule-5] INFO  o.a.i.d.s.d.c.s.TTLScheduleTask:69 - [TTLCheckTask-0] TTL checker is interrupted 
2024-08-28 18:29:05,321 [pool-13-IoTDB-Compaction-Schedule-4] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskWorker:75 - [CompactionScheduleTaskWorker-3] compaction schedule is interrupted 
2024-08-28 18:29:07,875 [main] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskManager:76 - Compaction schedule task manager started. 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2538 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2538 
2024-08-28 18:29:07,892 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2538 
2024-08-28 18:29:07,898 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2539 
2024-08-28 18:29:07,898 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539 
2024-08-28 18:29:07,898 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539 
2024-08-28 18:29:07,898 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/2 
2024-08-28 18:29:07,899 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/3 
2024-08-28 18:29:07,899 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/4 
2024-08-28 18:29:08,258 [main] INFO  o.a.i.d.s.d.c.s.CompactionTaskManager:132 - Compaction task manager started. 
2024-08-28 18:30:07,888 [pool-13-IoTDB-Compaction-Schedule-2] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-3] Total source files: 10 seqFiles, 0 unseqFiles. Candidate source files: 10 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:30:07,888 [pool-13-IoTDB-Compaction-Schedule-1] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-2] Total source files: 4 seqFiles, 0 unseqFiles. Candidate source files: 4 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:30:07,888 [pool-13-IoTDB-Compaction-Schedule-3] INFO  o.a.i.d.s.d.c.s.i.RewriteCrossSpaceCompactionSelector:371 - InsertionCrossSpaceCompaction [root.test.g_0-4] Total source files: 29 seqFiles, 0 unseqFiles. Candidate source files: 29 seqFiles, 0 unseqFiles. Cannot select any files because they do not meet the conditions or may be occupied by other compaction threads. 
2024-08-28 18:30:07,908 [pool-28-IoTDB-Compaction-Worker-3] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-2 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 21 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:30:07,908 [pool-28-IoTDB-Compaction-Worker-1] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-4 [Compaction] Sequence InnerSpaceCompaction task starts with 27 files, total file size is 398 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:30:07,911 [pool-28-IoTDB-Compaction-Worker-4] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-2 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1104 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:30:07,911 [pool-28-IoTDB-Compaction-Worker-5] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-3 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1050 MB, estimated memory cost is 21.25 MB 
2024-08-28 18:30:07,912 [pool-28-IoTDB-Compaction-Worker-6] INFO  o.a.i.d.s.d.c.e.t.InnerSpaceCompactionTask:235 - root.test.g_0-4 [Compaction] Sequence InnerSpaceCompaction task starts with 2 files, total file size is 1080 MB, estimated memory cost is 21.25 MB 
